Muscle Group,Exercise,Video Link (Male),Video Link (Female),Equipment,Difficulty
Biceps,Dumbbell Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-curl"">Female</a> Dumbbells",Novice
Biceps,Dumbbell Hammer Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-hammer-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-hammer-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-hammer-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-hammer-curl"">Female</a> Dumbbells",Novice
Biceps,Kettlebell Concentration Curl,https://musclewiki.com/kettlebells/male/biceps/kettlebell-concentration-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-concentration-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/biceps/kettlebell-concentration-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/biceps/kettlebell-concentration-curl"">Female</a> Kettlebells",Intermediate
Biceps,Kettlebell Preacher Curl,https://musclewiki.com/kettlebells/male/biceps/kettlebell-preacher-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-preacher-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/biceps/kettlebell-preacher-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/biceps/kettlebell-preacher-curl"">Female</a> Kettlebells",Intermediate
Biceps,Kettlebell Single Arm Curl,https://musclewiki.com/kettlebells/male/biceps/kettlebell-single-arm-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-single-arm-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/biceps/kettlebell-single-arm-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/biceps/kettlebell-single-arm-curl"">Female</a> Kettlebells",Beginner
Biceps,Biceps Stretch Variation Five,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-five,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-five,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/male/biceps/biceps-stretch-variation-five"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/female/biceps/biceps-stretch-variation-five"">Female</a> Stretches",Novice
Biceps,Biceps Stretch Variation Four,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-four,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-four,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/male/biceps/biceps-stretch-variation-four"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/female/biceps/biceps-stretch-variation-four"">Female</a> Stretches",Novice
Biceps,Biceps Stretch Variation Three,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-three,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-three,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/male/biceps/biceps-stretch-variation-three"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/female/biceps/biceps-stretch-variation-three"">Female</a> Stretches",Novice
Biceps,Biceps Stretch Variation Two,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-two,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-two,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/male/biceps/biceps-stretch-variation-two"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/female/biceps/biceps-stretch-variation-two"">Female</a> Stretches",Novice
Biceps,Biceps Stretch Variation One,https://musclewiki.com/stretches/male/biceps/biceps-stretch-variation-one,https://musclewiki.com/stretches/female/biceps/biceps-stretch-variation-one,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/male/biceps/biceps-stretch-variation-one"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/stretches/female/biceps/biceps-stretch-variation-one"">Female</a> Stretches",Novice
